,Episode,main character,barney phrase #,sentiment
0,1,Marshall,11,0.23971428571428574
1,2,Ted,3,0.25669315068493154
2,3,Ted,8,0.17168051948051943
3,4,Robin,2,0.21224489795918364
4,5,Marshall,6,0.16170925925925927
5,6,Ted,6,0.2064375
6,7,Ted,4,0.220145205479452
7,8,Lily,5,0.13797011494252875
8,9,Ted,3,0.3311873015873016
9,10,Ted,4,0.11778888888888896
10,11,Ted,10,0.32085374999999994
11,12,Ted,6,0.10938431372549015
12,13,Ted,5,0.23600000000000007
13,14,Ted,3,0.144712
14,15,Ted,6,0.20053529411764712
15,16,Ted,14,0.16117792207792206
16,17,Ted,6,0.2145380434782608
17,18,Ted,3,0.08268700000000001
18,19,Ted,4,0.1574597222222222
19,20,Ted,6,0.17374444444444445
20,21,Ted,2,0.14444583333333333
21,22,Ted,3,0.22744705882352945
22,23,Lily,1,0.4354899999999999
23,24,Marshall,4,0.1587372549019608
24,25,Lily,1,0.17061489361702128
25,26,Ted,3,0.14618734177215184
26,27,Lily,2,0.18666111111111114
27,28,Ted,5,0.11223658536585368
28,29,Marshall,2,0.22323888888888893
29,30,Marshall,2,0.2577916666666667
30,31,Robin,3,0.23609428571428573
31,32,Barney,8,0.17883181818181815
32,33,Ted,4,0.24272631578947362
33,34,Ted,5,0.3283277777777776
34,35,Marshall,6,0.22473658536585378
35,36,Robin,4,0.21477727272727265
36,37,Barney,1,0.30332500000000007
37,38,Ted,0,0.14670377358490563
38,39,Marshall,4,0.004025490196078439
39,40,Ted,7,0.22459069767441864
40,41,Barney,3,0.25015
41,42,Lily,7,0.3836647058823529
42,43,Marshall,1,0.13896406249999999
43,44,Ted,7,0.12807906976744188
44,45,Ted,5,0.1860282051282051
45,46,Robin,0,0.45791249999999994
46,47,Ted,7,0.09890377358490567
47,48,Ted,5,0.2847412698412698
48,49,Ted,2,0.048538461538461544
49,50,Ted,3,0.38979736842105256
50,51,Marshall,0,0.09606461538461539
51,52,Ted,6,0.1710584415584417
52,53,Marshall,6,0.11778000000000001
53,54,Barney,6,0.29819387755102045
54,55,Ted,3,0.2663545454545454
55,56,Ted,3,0.4050933333333333
56,57,Ted,2,0.14945737704918033
57,58,Barney,1,-0.12702
58,59,Marshall,1,-0.04737142857142858
59,60,Robin,8,0.1060461538461538
60,61,Robin,3,0.0290357142857143
61,62,Barney,6,0.18530000000000005
62,63,Ted,7,0.2918292682926829
63,64,Ted,5,0.2126214285714286
64,65,Barney,3,0.2396875000000001
65,66,Marshall,2,0.025838095238095257
66,67,Robin,6,0.04455755693581784
67,68,Ted,4,0.33901200000000004
68,69,Robin,2,0.35585357142857144
69,70,Ted,5,0.06858000000000002
70,71,Lily,2,0.30878648648648643
71,72,Ted,2,0.3164490196078433
72,73,Barney,1,0.12577031249999998
73,74,Ted,6,0.023550495049504974
74,75,Ted,1,0.1872792207792208
75,76,Robin,3,0.2335409090909091
76,77,Lily,5,0.2592093023255813
77,78,Barney,7,0.1690142857142857
78,79,Barney,0,0.1423090909090909
79,80,Lily,6,0.15891333333333332
80,81,Marshall,5,0.13394225352112674
81,82,Ted,0,0.07618124999999999
82,83,Marshall,1,0.06493846153846157
83,84,Ted,10,0.07960322580645163
84,85,Ted,13,0.21147647058823532
85,86,Barney,5,0.22890769230769228
86,87,Ted,1,0.17355666666666666
87,88,Ted,7,0.271948275862069
88,89,Ted,5,0.13976764705882355
89,90,Lily,5,0.3507157894736843
90,91,Robin,1,0.17944347826086962
91,92,Lily,3,0.1367595744680851
92,93,Ted,2,0.29924999999999996
93,94,Lily,0,0.13966129032258062
94,95,Barney,5,-0.016690566037735853
95,96,Ted,4,0.2397675675675676
96,97,Lily,6,0.2391139534883721
97,98,Ted,2,0.18934696969696974
98,99,Marshall,4,0.22760357142857143
99,100,Barney,19,0.13040833333333332
100,101,Lily,4,0.053688461538461546
101,102,Ted,3,0.10918750000000002
102,103,Ted,4,0.12702249999999998
103,104,Ted,2,0.14803124999999998
104,105,Robin,3,0.15494634146341463
105,106,Lily,6,0.1936689655172413
106,107,Marshall,0,0.15537111111111113
107,108,Ted,2,0.12660652173913042
108,109,Robin,5,0.23445483870967734
109,110,Ted,7,0.13291363636363637
110,111,Ted,1,0.42458125
111,112,Marshall,11,0.3059535714285714
112,113,Marshall,0,0.10115434782608697
113,114,Barney,6,0.24590000000000004
114,115,Ted,3,-0.03505666666666666
115,116,Robin,4,0.05751521739130435
116,117,Ted,6,0.15505243902439034
117,118,Marshall,3,0.07798333333333331
118,119,Robin,1,0.20169512195121953
119,120,Marshall,3,0.35043823529411766
120,121,Robin,1,0.22600519480519485
121,122,Ted,15,-0.012846774193548391
122,123,Lily,6,-0.0023550000000000042
123,124,Lily,5,0.3452615384615384
124,125,Marshall,8,0.09147755102040817
125,126,Marshall,3,0.12583870967741934
126,127,Ted,3,0.14547045454545454
127,128,Marshall,2,0.14947222222222223
128,129,Marshall,0,0.20702424242424244
129,130,Barney,5,0.14994867256637173
