,Episode,main character,barney phrase #,sentiment
130,131,Barney,4,0.16668117647058822
131,132,Marshall,4,0.27396739130434783
132,133,Barney,5,0.05035373134328359
133,134,Marshall,2,0.12604109589041096
134,135,Ted,1,0.1700340909090909
135,136,Ted,7,0.08794871794871796
136,137,Ted,5,0.292425925925926
137,138,Ted,3,0.18954090909090915
138,139,Barney,1,0.20326666666666662
139,140,Barney,4,0.19204318181818178
140,141,Marshall,3,0.0789972972972973
141,142,Ted,2,0.09580294117647058
142,143,Ted,7,0.24390512820512825
143,144,Barney,4,0.147905
144,145,Barney,1,0.049871153846153815
145,146,Marshall,4,-0.006582758620689659
146,147,Barney,6,0.13622307692307695
147,148,Robin,2,0.23478076923076927
148,149,Ted,3,0.17684062500000003
149,150,Marshall,3,0.26439
151,151,Lily,2,0.09963191489361706
152,152,Ted,3,0.04181304347826086
153,153,Robin,0,0.19533421052631586
154,154,Robin,2,0.10526521739130434
155,155,Barney,3,0.1629382352941177
156,156,Barney,3,0.23212272727272729
157,157,Robin,6,0.36314375
158,158,Marshall,0,0.31552592592592593
159,159,Marshall,12,0.1803560606060606
160,160,Ted,1,0.25990256410256396
161,161,Robin,1,0.3159375
162,162,Barney,3,0.30669166666666664
163,163,Barney,4,0.09286382978723409
164,164,Lily,3,0.30243000000000003
165,165,Robin,2,0.46251538461538466
166,166,Robin,2,0.2226657142857143
167,167,Marshall,1,0.17114285714285712
168,168,Lily,0,0.24397666666666668
169,169,Ted,1,0.12361562499999999
170,170,Barney,1,0.21938399999999997
171,171,Ted,5,0.3211243902439023
172,172,Robin,5,0.5917642857142857
173,173,Barney,0,0.14367037037037036
174,174,Ted,3,0.2273428571428571
175,175,Robin,1,0.3053675000000001
176,176,Ted,1,0.03622790697674419
177,177,Lily,3,0.29749310344827584
178,178,Barney,0,0.4156461538461537
179,179,Barney,1,0.4171909090909091
180,180,Ted,10,0.07083043478260871
181,181,Lily,5,0.12199459459459457
182,182,Barney,7,0.25609249999999995
183,183,Ted,2,0.2068892857142857
184,184,Lily,5,0.3213935483870967
185,185,Lily,4,0.07083281249999998
186,186,Barney,4,0.06768955223880596
187,187,Ted,5,0.16472592592592594
188,188,Robin,2,0.14174799999999996
189,189,Ted,0,0.419751111111111
190,190,Ted,4,0.0926081967213115
191,191,Lily,2,-0.11913947368421053
192,192,Robin,0,0.052363157894736834
193,193,Robin,3,-0.027662162162162145
194,194,Barney,2,0.1239
195,195,Ted,2,0.19529583333333334
196,196,Barney,2,0.25462222222222225
197,197,Marshall,8,0.283364
198,198,Barney,11,0.1390875
199,199,Barney,5,0.3680454545454546
200,200,Ted,0,0.34538571428571424
201,201,Barney,1,0.12313076923076924
202,202,Barney,10,0.3423619047619047
203,203,Lily,15,0.16855846153846152
204,204,Lily,2,0.23965151515151512
205,205,Ted,6,0.07153953488372095
206,206,Barney,4,0.05982777777777778
207,207,Ted,9,0.25028688524590165
208,208,Ted,9,0.2540313559322034
